decile,dt,wieghted_median,wieghted_mean,wieghted_25q,wieghted_high_75q,wieghted_sd
8,2020-03-13,0.289736027203688,0.289718468184495,0.272220019115918,0.308197361563283,0.0299932584057527
10,2020-03-13,0.309193719355278,0.310376622282082,0.286818044533531,0.333703623599703,0.0390429468395426
6,2020-03-13,0.287572159028167,0.29001337209141,0.271150859179684,0.304802457727632,0.0289473552560317
7,2020-03-13,0.289239386270348,0.290860522837406,0.271568575437681,0.311129809511087,0.0289120336846823
2,2020-03-13,0.294249723283767,0.294902528269607,0.276764749540185,0.309340845279009,0.0292580550399223
9,2020-03-13,0.292692483688887,0.294755545930025,0.273483969693525,0.317155081289038,0.0299458582429526
6,2020-03-11,0.271147743510156,0.269751288025406,0.2495593441063,0.285289630818302,0.0275966645571314
4,2020-03-11,0.271859592956232,0.273145542447969,0.258999199752991,0.291538087434589,0.0283593091864212
8,2020-03-11,0.265195336730291,0.266895087288931,0.249151691054924,0.28356714903371,0.0278104119782471
3,2020-03-11,0.275272313042227,0.273519908099784,0.257888177854072,0.2875278798925,0.028594188589807
2,2020-03-11,0.278019567766639,0.279464157999078,0.265033576105582,0.293658594727234,0.0282952855936903
5,2020-03-11,0.270590241833651,0.273924928573174,0.256390171576701,0.290705476058242,0.0286867538836298
10,2020-03-11,0.286821140365542,0.286294789322297,0.267333212349893,0.310584208972429,0.0364196755919597
9,2020-03-11,0.280079280127006,0.277378635342075,0.259139973392242,0.294969429523578,0.0300027218488352
1,2020-03-08,0.413262411258821,0.413728097515053,0.392077084458588,0.433669012636895,0.0388382727708416
7,2020-03-08,0.41307065364604,0.413635950179948,0.394165699462709,0.432789716560026,0.0305163461213775
6,2020-03-08,0.406869188341376,0.40978563592206,0.391572648772862,0.428281537334212,0.0302617626172922
8,2020-03-08,0.413099951839205,0.414360406006162,0.390905785600313,0.433845333564444,0.0314144096889103
9,2020-03-08,0.421290163276217,0.423058919144843,0.40056190587732,0.444322103152593,0.034662566670472
10,2020-03-08,0.419943520073888,0.419706016727963,0.390789807018932,0.448343357479195,0.0473658069507629
2,2020-03-08,0.411140342905505,0.413345572409459,0.395059563821464,0.431700241598273,0.0318737438488618
8,2020-04-22,0.477971722985343,0.47875163822493,0.457364850550627,0.502424216290449,0.0354937914727974
8,2020-04-09,0.496953424482642,0.495755971083974,0.473416199274558,0.521373827348314,0.0380540394602491
6,2020-04-09,0.468249380770045,0.470981492600225,0.452769426132787,0.487062149271971,0.0325255881518584
2,2020-04-09,0.441111402847492,0.441513817521735,0.423927774549071,0.459054116552541,0.0292785471552735
3,2020-04-09,0.446389373960419,0.447718710381185,0.430035272737747,0.467115085589071,0.0331082659817427
4,2020-04-09,0.453578768710276,0.453434420611074,0.433720233643813,0.472207828659475,0.0326535537807089
5,2020-04-09,0.456546361775304,0.459644349803722,0.443316650816219,0.477742794717262,0.0317832590243896
9,2020-04-09,0.532228331196392,0.530204320575908,0.501399829602434,0.55876885790752,0.0438260342154785
10,2020-04-09,0.574747706770874,0.569060539424206,0.537147004410716,0.605966795411519,0.059727560887298
7,2020-04-09,0.477305635294499,0.478247765504692,0.460706711966166,0.49682436792074,0.030329373991865
3,2020-04-10,0.539538844919075,0.540820853692817,0.519436395093177,0.563556038311303,0.0319975838653591
