decile,dt,dist
6,2020-03-24,0.535631355304498
6,2020-03-25,0.534525678748062
6,2020-03-26,0.532403737169776
6,2020-03-27,0.516036709351531
6,2020-03-28,0.551626514771769
6,2020-03-29,0.625722581406738
6,2020-03-30,0.504305735594569
6,2020-03-31,0.493622308937459
6,2020-04-01,0.468624087126949
6,2020-04-02,0.497840863314998
6,2020-04-03,0.491049163851285
6,2020-04-04,0.515277839509034
6,2020-04-05,0.585640294869076
6,2020-04-06,0.488998874257214
6,2020-04-07,0.475725754606147
6,2020-04-08,0.471356424311681
6,2020-04-09,0.454886367959068
6,2020-04-10,0.551051248114736
6,2020-04-11,0.50470811970278
6,2020-04-12,0.567195393199921
6,2020-04-13,0.479234239408577
6,2020-04-14,0.475117348887423
6,2020-04-15,0.47172464087718
6,2020-04-16,0.438223716865461
6,2020-04-17,0.447050433809606
6,2020-04-18,0.483585733380833
6,2020-04-19,0.565029436399176
6,2020-04-20,0.478105297027974
6,2020-04-21,0.536497123966629
6,2020-04-22,0.441109018144063
6,2020-04-23,0.443324135680058
6,2020-04-24,0.433365025981205
6,2020-04-25,0.47730194996216
6,2020-04-26,0.544215470344007
6,2020-04-27,0.450455014198148
6,2020-04-28,0.444897213284074
6,2020-04-29,0.435993649833474
6,2020-04-30,0.420681544037547
6,2020-05-01,0.513325869981308
6,2020-05-02,0.473372460374424
6,2020-05-03,0.525531818323741
6,2020-05-04,0.444352381385834
6,2020-05-05,0.436053627100068
6,2020-05-06,0.436622301198384
6,2020-05-07,0.45732941837915
6,2020-05-08,0.428694945701709
6,2020-05-09,0.451163874251026
6,2020-05-10,0.49118308086439
6,2020-05-11,0.453399586306955
6,2020-05-12,0.449418945455014
6,2020-05-13,0.444768489577553
6,2020-05-14,0.448568461662503
6,2020-05-15,0.440773063341813
6,2020-05-16,0.473532622112135
6,2020-05-17,0.537566037354261
6,2020-05-18,0.438887527225008
6,2020-05-19,0.429182644251868
6,2020-05-20,0.436762637898851
6,2020-05-21,0.442837791597595
6,2020-05-22,0.429817329059222
6,2020-05-23,0.469231451959927
6,2020-05-24,0.559141758100268
6,2020-05-25,0.49238457047903
6,2020-05-26,0.418931168205433
6,2020-05-27,0.415986359387257
6,2020-05-28,0.415915941740138
6,2020-05-29,0.40012347194058
6,2020-05-30,0.436240159433306
6,2020-05-31,0.516035951820862
6,2020-06-01,0.415453243606863
6,2020-06-02,0.429545530817429
6,2020-06-03,0.408413206044078
6,2020-06-04,0.405254142873203
6,2020-06-05,0.408186236681068
6,2020-06-06,0.417890408065172
6,2020-06-07,0.494653965926549
6,2020-06-08,0.399826833599406
6,2020-06-09,0.393024227029183
6,2020-06-10,0.396911461058484
6,2020-06-11,0.401636695984155
6,2020-06-12,0.372114750014232
6,2020-06-13,0.407352641408451
6,2020-06-14,0.520755211803198
6,2020-06-15,0.403370987438439
6,2020-06-16,0.395492817468084
6,2020-06-17,0.372744359107573
6,2020-06-18,0.383762945280115
6,2020-06-19,0.348652221271618
6,2020-06-20,0.391717701386626
6,2020-06-21,0.478864187197591
6,2020-06-22,0.390322552807447
6,2020-06-23,0.386570612334008
6,2020-06-24,0.385581045649327
6,2020-06-25,0.377886214999262
6,2020-06-26,0.384522637821324
6,2020-06-27,0.475352706143407
6,2020-06-28,0.526758065194785
6,2020-06-29,0.404749273366943
6,2020-06-30,0.389109054464569
6,2020-07-01,0.389593221004016
6,2020-07-02,0.386707578665706
6,2020-07-03,0.374341384514039
6,2020-07-04,0.404971509775539
6,2020-07-05,0.479893341055148
6,2020-07-06,0.398488148241901
6,2020-07-07,0.378017906587349
6,2020-07-08,0.372504163524173
6,2020-07-09,0.386343380326696
6,2020-07-10,0.370120013033984
6,2020-07-11,0.403109138901931
6,2020-07-12,0.469799327424134
6,2020-07-13,0.397709526178866
6,2020-07-14,0.414703687168562
6,2020-07-15,0.392036516354696
6,2020-07-16,0.389245252418675
6,2020-07-17,0.347176582650834
6,2020-07-18,0.37608048173859
6,2020-07-19,0.471417610181123
6,2020-07-20,0.386286898766611
6,2020-07-21,0.383604675351454
6,2020-07-22,0.378200671091541
6,2020-07-23,0.375080111363913
6,2020-07-24,0.367587123864916
6,2020-07-25,0.3981136659422
6,2020-07-26,0.489774739784595
6,2020-07-27,0.393682053701677
6,2020-07-28,0.386080839352271
6,2020-07-29,0.390813945321313
6,2020-07-30,0.395466079396467
6,2020-07-31,0.367255323403516
6,2020-08-01,0.398871130323232
6,2020-08-02,0.472204218255886
6,2020-08-03,0.378829247127455
6,2020-08-04,0.363830706408739
6,2020-08-05,0.347520944563482
6,2020-08-06,0.361434390004374
6,2020-08-07,0.341098774167723
6,2020-08-08,0.379034773027903
6,2020-08-09,0.430215228451813
6,2020-08-10,0.368277919789954
7,2020-03-01,0.417836970982231
7,2020-03-02,0.273294912258596
7,2020-03-03,0.285133112212424
7,2020-03-04,0.292268520270313
7,2020-03-05,0.285315121228296
7,2020-03-06,0.265097080436985
7,2020-03-07,0.314686061464857
7,2020-03-08,0.409087541407643
7,2020-03-09,0.280436495262754
7,2020-03-10,0.282627264033197
7,2020-03-11,0.271841613340995
7,2020-03-12,0.283216610896103
7,2020-03-13,0.28788664761179
7,2020-03-14,0.350727004074959
7,2020-03-15,0.427840686065582
7,2020-03-16,0.325024488457308
7,2020-03-17,0.332574117500949
7,2020-03-18,0.352819155828054
7,2020-03-19,0.380638818189538
7,2020-03-20,0.406493820048203
7,2020-03-21,0.536504303296727
7,2020-03-22,0.638036499373854
7,2020-03-23,0.523871859366533
7,2020-03-24,0.558706995203229
7,2020-03-25,0.549654011604295
7,2020-03-26,0.54885961994139
7,2020-03-27,0.532232747932619
7,2020-03-28,0.568204868074272
7,2020-03-29,0.635381947799949
7,2020-03-30,0.522497882726355
7,2020-03-31,0.51192371054918
7,2020-04-01,0.477165640367273
7,2020-04-02,0.509021327305686
7,2020-04-03,0.508658328899604
7,2020-04-04,0.530039189181286
7,2020-04-05,0.599970276990108
7,2020-04-06,0.500553813273468
7,2020-04-07,0.491267468242601
7,2020-04-08,0.481923629002457
7,2020-04-09,0.466174791464449
7,2020-04-10,0.564366743702609
7,2020-04-11,0.515826443421037
7,2020-04-12,0.57420493717994
7,2020-04-13,0.492505267020759
7,2020-04-14,0.490344367133414
7,2020-04-15,0.483945107413594
7,2020-04-16,0.451922057944133
7,2020-04-17,0.460257976770414
7,2020-04-18,0.496787304603823
7,2020-04-19,0.57654238719795
7,2020-04-20,0.487928594547635
7,2020-04-21,0.546091698532274
7,2020-04-22,0.451626071683243
7,2020-04-23,0.458041204323249
7,2020-04-24,0.443427639268605
7,2020-04-25,0.487273973703135
7,2020-04-26,0.558854249441425
7,2020-04-27,0.46650754110427
7,2020-04-28,0.453665628500092
7,2020-04-29,0.442434139294658
7,2020-04-30,0.427179926657002
7,2020-05-01,0.520723166220918
7,2020-05-02,0.477786532778661
7,2020-05-03,0.534262518367466
7,2020-05-04,0.451301229866538
7,2020-05-05,0.44385596769904
7,2020-05-06,0.439795569328233
7,2020-05-07,0.458408971263446
7,2020-05-08,0.429340223970172
7,2020-05-09,0.454937037130559
7,2020-05-10,0.494373267745918
7,2020-05-11,0.466365478902204
7,2020-05-12,0.460579465236646
7,2020-05-13,0.452154274417652
7,2020-05-14,0.45878371951504
